
! https://hackmd.io/2IuIeln8RtWv2pNWCf2W5A 


! https://hackmd.io/2IuIeln8RtWv2pNWCf2W5A 

! Crepuscule tente de représenter les conflits d'intérêts
! mis en évidence par l'écrit "Crépuscule" de Juan Branco.
! Enlever le “!” avant le & pour les afficher dans le graphe
! @ Structures
! @ Evénements 
! _ Relations
! _ Paramètres de relations réifiées
! @ Personnes


! https://calc.padagraph.io/crepuscule-medias 

"!,",,,,,,,,,,,,
Hollande,--,Drahi,,"Macron, Mourad",1,,,49,,,,,
Macron,--,Veil,,ENA,1,,,49," promotion Léopold Sédar Senghor (2004)",https://fr.wikipedia.org/wiki/Sibyle_Veil,,,
Macron,--,Arnault_B,"intime de",,1,6,,,,,,,
Drahi,--,Joffrin,"intime de",,1,6,,,,,,,
Mourad,->,Macron,"travaille pour",,1,,,"34, 49","A vérifier",,,,
Mourad,->,Drahi,"travaille pour",,1,,,"34, 49","A vérifier",,,,
Mourad,--,Macron,"intime de, grand ami",,1,6,,"34, 49, 51","A vérifier",,,,
Trogneux-Macron,--,Arnault_B,"intime de",,1,6,,"37, 45","A vérifier",,,,
Trogneux-Macron,--,Mimi,"intime de",,1,6,,"37, 45","A vérifier",,,,
Mimi,->,Arnault_B,"travaille pour",,1,,,37,"A vérifier",,,,
Dreyfus,->,Neil,"travaille pour",,1,,,42,"A vérifier",,,,
Khiroun,->,Lagardère_A,"travaille pour",,1,,,,,,,,
Dassault_S,->,Valls,"a soutenu",,1,,,41,,http://www.lefigaro.fr/flash-actu/2012/09/10/97001-20120910FILWWW00681-dassault-soutient-publiquement-valls.php,,,
Khiroun,->,Mimi,"a soutenu",,1,,,51,"Ramzy Khiroun /.../ est intervenu pour protéger Mimi Marchand à Paris Match",,,,
Gallimard,->,Lebrun,censure,,1,,,51,"Ils	viennent	de	censurer	Annie	Lebrun,	auteur	historique	 de	 la	 maison,	 parce	 qu’elle	 critiquait	 LVMH	 dans	 son	 dernier	ouvrage	sur	la	mode.",,,,
Macron,->,Nyssen,"nomme ministre",,1,,,,,,,,


! https://calc.padagraph.io/crepuscule-financements 

"!,",,,,,,,,
_a_financé,,,Année,"Montant (Millier d'€)",+Pages,+Autres_sources,weight[1],Extrait
Niel,->,Mediapart,,100,,Libération<https://www.liberation.fr/checknews/2017/10/02/est-ce-que-xavier-niel-est-un-actionnaire-de-mediapart_1652506>,0.1,
Arnault_B,->,Vanity_Fair,,,49,,1,"'/Vanity Fair/ coulerait immédiatement si /Arnault_B/ cessait de le financer"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,


! https://calc.padagraph.io/crepuscule-parametres 

!,"Quelques propriétés des  relations dans le graphe (pas utilisé pour l'instant)",,,
"_  Personne/Union",color[green],width[3],line[plain],weight[1]
"_  Personne/Filiation",color[green],width[3],line[plain],weight[1]
